AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
11001;11001001;Mitte;;;;;;;22650;19804;2126;572;148;1
11002;11002002;Friedrichshain-Kreuzberg;;;;;;;16129;14808;1057;210;54;2
11003;11003003;Pankow;;;;;;;19062;17876;949;201;36;3
11004;11004004;Charlottenburg-Wilmersdorf;;;;;;;26471;24201;1797;405;68;4
11005;11005005;Spandau;;;;;;;6706;6115;457;111;23;5
11006;11006006;Steglitz-Zehlendorf;;;;;;;13571;12681;694;159;37;6
11007;11007007;Tempelhof-Schöneberg;;;;;;;16469;15062;1081;274;52;7
11008;11008008;Neukölln;;;;;;;9355;8605;576;155;19;8
11009;11009009;Treptow-Köpenick;;;;;;;10060;9254;624;156;26;9
11010;11010010;Marzahn-Hellersdorf;;;;;;;7398;6769;499;115;15;10
11011;11011011;Lichtenberg;;;;;;;7302;6617;515;137;33;11
11012;11012012;Reinickendorf;;;;;;;8867;7998;643;186;40;12
51000;12051000;Brandenburg an der Havel, Stadt;;;;;;;2660;2270;315;62;13;132
52000;12052000;Cottbus, Stadt;;;;;;;4514;3903;468;123;20;18
53000;12053000;Frankfurt (Oder), Stadt;;;;;;;2539;2194;256;74;15;321
54000;12054000;Potsdam, Stadt;;;;;;;7926;7025;658;208;35;35
60005;12060005;Ahrensfelde;;;;;;;820;733;71;15;1;222
60012;12060012;Althüttendorf;;;;;;;32;30;1;1;0;409
60020;12060020;Bernau bei Berlin, Stadt;;;;;;;1639;1479;133;23;4;95
60024;12060024;Biesenthal, Stadt;;;;;;;248;226;17;5;0;405
60034;12060034;Breydin;;;;;;;24;21;2;1;0;257
60036;12060036;Britz;;;;;;;81;75;4;2;0;255
60045;12060045;Chorin;;;;;;;96;90;6;0;0;44
60052;12060052;Eberswalde, Stadt;;;;;;;1547;1328;169;45;5;39
60068;12060068;Friedrichswalde;;;;;;;39;39;0;0;0;106
60092;12060092;Hohenfinow;;;;;;;14;14;0;0;0;66
60100;12060100;Joachimsthal, Stadt;;;;;;;166;158;6;2;0;412
60128;12060128;Liepe;;;;;;;21;20;1;0;0;265
60149;12060149;Lunow-Stolzenhagen;;;;;;;30;27;3;0;0;363
60154;12060154;Marienwerder;;;;;;;85;82;3;0;0;378
60161;12060161;Melchow;;;;;;;36;34;1;1;0;235
60172;12060172;Niederfinow;;;;;;;27;27;0;0;0;110
60176;12060176;Oderberg, Stadt;;;;;;;89;86;2;1;0;402
60181;12060181;Panketal;;;;;;;853;821;31;1;0;186
60185;12060185;Parsteinsee;;;;;;;19;18;1;0;0;269
60192;12060192;Rüdnitz;;;;;;;66;64;1;1;0;153
60198;12060198;Schorfheide;;;;;;;481;429;45;7;0;417
60250;12060250;Sydower Fließ;;;;;;;29;27;2;0;0;118
60269;12060269;Wandlitz;;;;;;;1130;1073;50;7;0;396
60280;12060280;Werneuchen, Stadt;;;;;;;368;323;39;6;0;180
60296;12060296;Ziethen;;;;;;;20;18;1;1;0;271
61005;12061005;Alt Zauche-Wußwerk;;;;;;;14;13;1;0;0;345
61017;12061017;Bersteland;;;;;;;49;43;4;2;0;115
61020;12061020;Bestensee;;;;;;;272;250;18;3;1;408
61061;12061061;Byhleguhre-Byhlen;;;;;;;21;18;3;0;0;311
61097;12061097;Drahnsdorf;;;;;;;19;19;0;0;0;227
61112;12061112;Eichwalde;;;;;;;298;288;10;0;0;397
61164;12061164;Golßen, Stadt;;;;;;;116;104;9;2;1;200
61192;12061192;Groß Köris;;;;;;;111;106;5;0;0;399
61216;12061216;Halbe;;;;;;;104;91;11;2;0;50
61217;12061217;Heidesee;;;;;;;334;312;21;1;0;198
61219;12061219;Heideblick;;;;;;;130;122;8;0;0;183
61224;12061224;Jamlitz;;;;;;;16;14;2;0;0;43
61244;12061244;Kasel-Golzig;;;;;;;30;25;2;3;0;189
61260;12061260;Königs Wusterhausen, Stadt;;;;;;;1499;1343;129;24;3;407
61265;12061265;Krausnick-Groß Wasserburg;;;;;;;30;26;3;0;1;121
61308;12061308;Lieberose, Stadt;;;;;;;64;60;4;0;0;348
61316;12061316;Lübben (Spreewald), Stadt;;;;;;;723;642;65;14;2;261
61320;12061320;Luckau, Stadt;;;;;;;504;432;60;12;0;197
61328;12061328;Märkisch Buchholz, Stadt;;;;;;;30;30;0;0;0;119
61329;12061329;Märkische Heide;;;;;;;168;154;14;0;0;246
61332;12061332;Mittenwalde, Stadt;;;;;;;417;367;35;13;2;253
61344;12061344;Münchehofe;;;;;;;16;14;2;0;0;135
61352;12061352;Neu Zauche;;;;;;;43;38;5;0;0;312
61405;12061405;Rietzneuendorf-Staakow;;;;;;;11;11;0;0;0;181
61428;12061428;Schlepzig;;;;;;;34;30;4;0;0;123
61433;12061433;Schönefeld;;;;;;;960;844;74;33;9;92
61435;12061435;Schönwald;;;;;;;45;41;4;0;0;90
61444;12061444;Schulzendorf;;;;;;;310;302;7;1;0;138
61448;12061448;Schwerin;;;;;;;44;43;1;0;0;234
61450;12061450;Schwielochsee;;;;;;;106;103;2;1;0;278
61470;12061470;Spreewaldheide;;;;;;;6;6;0;0;0;354
61471;12061471;Steinreich;;;;;;;6;6;0;0;0;155
61476;12061476;Straupitz;;;;;;;36;33;2;1;0;40
61492;12061492;Teupitz, Stadt;;;;;;;96;91;4;0;1;400
61510;12061510;Unterspreewald;;;;;;;52;47;4;1;0;109
61540;12061540;Wildau;;;;;;;560;465;79;14;2;80
61572;12061572;Zeuthen;;;;;;;495;470;21;4;0;184
62024;12062024;Bad Liebenwerda, Stadt;;;;;;;496;442;47;7;0;239
62088;12062088;Crinitz;;;;;;;71;66;5;0;0;187
62092;12062092;Doberlug-Kirchhain, Stadt;;;;;;;347;315;30;2;0;211
62124;12062124;Elsterwerda, Stadt;;;;;;;475;400;62;12;1;103
62128;12062128;Falkenberg/Elster, Stadt;;;;;;;255;221;29;5;0;91
62134;12062134;Fichtwald;;;;;;;30;28;2;0;0;373
62140;12062140;Finsterwalde, Stadt;;;;;;;731;651;60;18;2;388
62177;12062177;Gorden-Staupitz;;;;;;;25;24;1;0;0;143
62196;12062196;Gröden;;;;;;;48;46;1;1;0;233
62208;12062208;Großthiemig;;;;;;;25;22;3;0;0;232
62219;12062219;Heideland;;;;;;;13;12;1;0;0;210
62224;12062224;Herzberg (Elster), Stadt;;;;;;;502;440;44;17;1;178
62232;12062232;Hirschfeld;;;;;;;56;52;3;1;0;272
62237;12062237;Hohenbucko;;;;;;;32;31;1;0;0;214
62240;12062240;Hohenleipisch;;;;;;;61;59;2;0;0;238
62282;12062282;Kremitzaue;;;;;;;15;14;1;0;0;258
62289;12062289;Lebusa;;;;;;;32;30;2;0;0;17
62293;12062293;Lichterfeld-Schacksdorf;;;;;;;45;43;2;0;0;429
62333;12062333;Massen-Niederlausitz;;;;;;;155;128;21;5;1;372
62336;12062336;Merzdorf;;;;;;;15;14;0;1;0;168
62341;12062341;Mühlberg/Elbe, Stadt;;;;;;;139;130;8;1;0;154
62372;12062372;Plessa;;;;;;;88;85;3;0;0;140
62410;12062410;Röderland;;;;;;;148;129;17;1;1;23
62417;12062417;Rückersdorf;;;;;;;47;42;5;0;0;209
62425;12062425;Sallgast;;;;;;;47;43;4;0;0;113
62440;12062440;Schilda;;;;;;;9;9;0;0;0;256
62445;12062445;Schlieben, Stadt;;;;;;;113;106;5;2;0;430
62453;12062453;Schönborn;;;;;;;51;48;3;0;0;117
62461;12062461;Schönewalde, Stadt;;;;;;;136;127;9;0;0;78
62464;12062464;Schraden;;;;;;;22;17;4;1;0;21
62469;12062469;Sonnewalde, Stadt;;;;;;;142;132;8;2;0;270
62492;12062492;Tröbitz;;;;;;;35;27;6;2;0;208
62500;12062500;Uebigau-Wahrenbrück, Stadt;;;;;;;172;155;11;5;1;96
63036;12063036;Brieselang;;;;;;;356;319;31;6;0;193
63056;12063056;Dallgow-Döberitz;;;;;;;367;328;34;5;0;89
63080;12063080;Falkensee, Stadt;;;;;;;1790;1670;97;22;1;73
63088;12063088;Friesack, Stadt;;;;;;;109;102;4;2;1;216
63094;12063094;Gollenberg;;;;;;;10;10;0;0;0;229
63112;12063112;Großderschau;;;;;;;16;16;0;0;0;174
63134;12063134;Havelaue;;;;;;;30;30;0;0;0;161
63142;12063142;Wiesenaue;;;;;;;19;18;1;0;0;212
63148;12063148;Ketzin/Havel, Stadt;;;;;;;262;234;24;4;0;203
63161;12063161;Kleßen-Görne;;;;;;;12;12;0;0;0;52
63165;12063165;Kotzen;;;;;;;16;16;0;0;0;36
63186;12063186;Märkisch Luch;;;;;;;38;36;2;0;0;67
63189;12063189;Milower Land;;;;;;;167;163;4;0;0;204
63202;12063202;Mühlenberge;;;;;;;26;23;3;0;0;47
63208;12063208;Nauen, Stadt;;;;;;;729;630;79;17;3;100
63212;12063212;Nennhausen;;;;;;;71;69;2;0;0;70
63228;12063228;Paulinenaue;;;;;;;37;34;3;0;0;236
63240;12063240;Pessin;;;;;;;25;24;1;0;0;19
63244;12063244;Premnitz, Stadt;;;;;;;319;273;37;9;0;81
63252;12063252;Rathenow, Stadt;;;;;;;1106;982;100;20;4;160
63256;12063256;Retzow;;;;;;;17;16;0;1;0;120
63260;12063260;Rhinow, Stadt;;;;;;;96;87;8;1;0;173
63273;12063273;Schönwalde-Glien;;;;;;;344;319;20;5;0;88
63274;12063274;Seeblick;;;;;;;36;34;2;0;0;28
63293;12063293;Stechow-Ferchesar;;;;;;;30;29;1;0;0;51
63357;12063357;Wustermark;;;;;;;306;261;30;14;1;192
64009;12064009;Alt Tucheband;;;;;;;23;22;1;0;0;359
64029;12064029;Altlandsberg, Stadt;;;;;;;459;423;31;4;1;13
64044;12064044;Bad Freienwalde (Oder), Stadt;;;;;;;564;510;43;11;0;124
64053;12064053;Beiersdorf-Freudenberg;;;;;;;37;36;1;0;0;84
64057;12064057;Bleyen-Genschmar;;;;;;;8;8;0;0;0;325
64061;12064061;Bliesdorf;;;;;;;23;20;2;1;0;281
64084;12064084;Buckow (Märkische Schweiz), Stadt;;;;;;;103;97;5;1;0;225
64125;12064125;Falkenberg;;;;;;;73;67;6;0;0;217
64128;12064128;Falkenhagen (Mark);;;;;;;31;30;1;0;0;329
64130;12064130;Fichtenhöhe;;;;;;;16;16;0;0;0;289
64136;12064136;Fredersdorf-Vogelsdorf;;;;;;;654;602;45;7;0;398
64153;12064153;Garzau-Garzin;;;;;;;14;14;0;0;0;387
64172;12064172;Golzow;;;;;;;35;35;0;0;0;343
64190;12064190;Gusow-Platkow;;;;;;;40;36;4;0;0;284
64205;12064205;Heckelberg-Brunow;;;;;;;27;25;2;0;0;30
64222;12064222;Höhenland;;;;;;;46;43;3;0;0;111
64227;12064227;Hoppegarten;;;;;;;983;861;97;25;0;383
64266;12064266;Küstriner Vorland;;;;;;;70;64;6;0;0;324
64268;12064268;Lebus, Stadt;;;;;;;149;140;9;0;0;361
64274;12064274;Letschin;;;;;;;133;127;4;2;0;290
64288;12064288;Lietzen;;;;;;;21;19;1;1;0;282
64290;12064290;Lindendorf;;;;;;;44;41;2;1;0;357
64303;12064303;Märkische Höhe;;;;;;;15;14;1;0;0;128
64317;12064317;Müncheberg, Stadt;;;;;;;306;282;17;6;1;293
64336;12064336;Neuenhagen bei Berlin;;;;;;;883;812;60;10;1;148
64340;12064340;Neuhardenberg;;;;;;;100;90;8;2;0;317
64349;12064349;Neulewin;;;;;;;22;21;1;0;0;320
64365;12064365;Neutrebbin;;;;;;;55;51;3;1;0;352
64370;12064370;Oberbarnim;;;;;;;57;55;2;0;0;263
64371;12064371;Oderaue;;;;;;;58;56;2;0;0;346
64380;12064380;Petershagen/Eggersdorf;;;;;;;607;578;29;0;0;390
64388;12064388;Podelzig;;;;;;;24;24;0;0;0;287
64393;12064393;Prötzel;;;;;;;29;27;2;0;0;242
64408;12064408;Rehfelde;;;;;;;198;188;9;1;0;262
64417;12064417;Reichenow-Möglin;;;;;;;24;24;0;0;0;251
64420;12064420;Reitwein;;;;;;;16;16;0;0;0;327
64428;12064428;Rüdersdorf bei Berlin;;;;;;;665;581;67;15;2;59
64448;12064448;Seelow, Stadt;;;;;;;275;244;24;5;2;342
64472;12064472;Strausberg, Stadt;;;;;;;1099;976;101;20;2;389
64480;12064480;Treplin;;;;;;;19;18;1;0;0;283
64482;12064482;Vierlinden;;;;;;;66;57;8;1;0;360
64484;12064484;Waldsieversdorf;;;;;;;33;31;1;1;0;277
64512;12064512;Wriezen, Stadt;;;;;;;290;271;16;3;0;347
64538;12064538;Zechin;;;;;;;10;10;0;0;0;340
64539;12064539;Zeschdorf;;;;;;;44;43;1;0;0;45
65036;12065036;Birkenwerder;;;;;;;394;360;24;9;1;71
65084;12065084;Fürstenberg/Havel, Stadt;;;;;;;302;283;18;1;0;410
65096;12065096;Glienicke/Nordbahn;;;;;;;499;480;18;1;0;38
65100;12065100;Gransee, Stadt;;;;;;;289;258;26;5;0;139
65117;12065117;Großwoltersdorf;;;;;;;25;25;0;0;0;62
65136;12065136;Hennigsdorf, Stadt;;;;;;;872;753;94;20;5;202
65144;12065144;Hohen Neuendorf, Stadt;;;;;;;1119;1058;55;5;1;418
65165;12065165;Kremmen, Stadt;;;;;;;315;291;17;6;1;191
65180;12065180;Leegebruch;;;;;;;223;210;11;2;0;146
65193;12065193;Liebenwalde, Stadt;;;;;;;185;173;11;1;0;420
65198;12065198;Löwenberger Land;;;;;;;325;294;25;6;0;273
65225;12065225;Mühlenbecker Land;;;;;;;597;571;21;5;0;381
65251;12065251;Oberkrämer;;;;;;;428;390;33;4;1;176
65256;12065256;Oranienburg, Stadt;;;;;;;1930;1738;146;40;6;419
65276;12065276;Schönermark;;;;;;;11;9;2;0;0;29
65301;12065301;Sonnenberg;;;;;;;18;18;0;0;0;98
65310;12065310;Stechlin;;;;;;;48;46;2;0;0;423
65332;12065332;Velten, Stadt;;;;;;;517;435;64;18;0;188
65356;12065356;Zehdenick, Stadt;;;;;;;522;467;50;4;1;199
66008;12066008;Altdöbern;;;;;;;82;76;6;0;0;286
66041;12066041;Bronkow;;;;;;;26;22;4;0;0;245
66052;12066052;Calau, Stadt;;;;;;;296;264;25;7;0;260
66064;12066064;Frauendorf;;;;;;;24;20;4;0;0;190
66104;12066104;Großkmehlen;;;;;;;44;37;6;1;0;93
66112;12066112;Großräschen, Stadt;;;;;;;360;317;33;10;0;382
66116;12066116;Grünewald;;;;;;;13;13;0;0;0;356
66120;12066120;Guteborn;;;;;;;18;17;1;0;0;268
66124;12066124;Hermsdorf;;;;;;;19;19;0;0;0;416
66132;12066132;Hohenbocka;;;;;;;32;30;2;0;0;355
